cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00694323,N,Q2,P2020,202207159519945626,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,06012022,-20,C00458679,H8MO09153,A2BB261F4C97844A2B07,1615035,,,4072520221548025736
C00694323,N,Q2,P2020,202207159519945627,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05042022,-10,C00783464,H2MO04140,A2BB2D35CA468404086B,1615035,,,4072520221548025740
C00694323,N,Q2,P2020,202207159519944335,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-25,C00495846,H2MO02102,A2575C7AD9D5B4BD79C9,1615035,,,4072520221548021864
C00694323,N,Q2,P2020,202207159519950018,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04112022,-1,C00495846,H2MO02102,A41783BA7465F4BB1800,1615035,,,4072520221548039912
C00694323,N,Q2,P2020,202207159519945196,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05082022,-10,C00495846,H2MO02102,A298FEEAAEB394ADDBFC,1615035,,,4072520221548024447
C00694323,N,Q2,P2020,202207159519950580,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06062022,-10,C00495846,H2MO02102,A444CA4EA6D2B45F7A6C,1615035,,,4072520221548041598
C00694323,N,Q2,P2020,202207159519944133,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,06172022,-50,C00783464,H2MO04140,A246A3624F8124219B73,1615035,,,4072520221548021258
C00694323,N,Q2,P2020,202207159519948840,24K,CCM,GRAVES FOR CONGRESS,PLATTE CITY,MO,64079,,,04282022,-25,C00359034,H0MO06073,A3B8F230716A94DDFA9A,1615035,,,4072520221548036380
C00694323,N,Q2,P2020,202207159519945950,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-45,C00495846,H2MO02102,A2D483764BBFE4C38B79,1615035,,,4072520221548026708
C00694323,N,Q2,P2020,202207159519948000,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06202022,-3,C00495846,H2MO02102,A37740E01084045EE804,1615035,,,4072520221548033860
C00694323,N,Q2,P2020,202207159519949332,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06102022,0,C00495846,H2MO02102,A3E1679FE12A94886AFB,1615035,,,4072520221548037855
C00694323,N,Q2,P2020,202207159519950195,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04112022,-20,C00458679,H8MO09153,A425629478D524DC399B,1615035,,,4072520221548040444
C00694323,N,Q2,P2020,202207159519943927,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05122022,-5,C00495846,H2MO02102,A236A48471FD946E1837,1615035,,,4072520221548020641
C00694323,N,Q2,P2020,202207159519946543,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04212022,-25,C00783464,H2MO04140,A30666C07D08C4719AB7,1615035,,,4072520221548028488
C00694323,N,Q2,P2020,202207159519950463,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,06012022,-10,C00458679,H8MO09153,A43B753E330B047B2988,1615035,,,4072520221548041247
C00694323,N,Q2,P2020,202207159519943268,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05132022,-20,C00783464,H2MO04140,A2021E9218A4D442AB4B,1615035,,,4072520221548018663
C00694323,N,Q2,P2020,202207159519948083,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06122022,-10,C00495846,H2MO02102,A37D7A957316B4167ABC,1615035,,,4072520221548034108
C00694323,N,Q2,P2020,202207159519949362,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04102022,-5,C00783464,H2MO04140,A3E3D7D73B800448F88B,1615035,,,4072520221548037944
C00694323,N,Q2,P2020,202207159519945522,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04102022,-1,C00495846,H2MO02102,A2B302D8227C54D579BC,1615035,,,4072520221548025424
C00694323,N,Q2,P2020,202207159519950344,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-70,C00495846,H2MO02102,A43208257270A487CA20,1615035,,,4072520221548040890
C00694323,N,Q2,P2020,202207159519949086,24K,CCM,MIKE MOON FOR CONGRESS 2022,REPUBLIC,MO,65738,,,04192022,-25,C00788273,H2MO07135,A3CC93AB67F794F19AF7,1615035,,,4072520221548037117
C00694323,N,Q2,P2020,202207159519947408,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04282022,-35,C00458679,H8MO09153,A3488E13447224B2193F,1615035,,,4072520221548032084
C00694323,N,Q2,P2020,202207159519943261,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04082022,-3,C00495846,H2MO02102,A2017748DC1314A8181E,1615035,,,4072520221548018642
C00694323,N,Q2,P2020,202207159519943263,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04082022,-50,C00458679,H8MO09153,A201B079F685A40A7834,1615035,,,4072520221548018647
C00694323,N,Q2,P2020,202207159519945347,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04052022,-250,C00495846,H2MO02102,A2A52767611FF4CF5A15,1615035,,,4072520221548024899
